Timestamp,Gender,Current Level of Studies,Type of Institution,What is your preferred study method ?,How many hours do you study per day?,How many hours do you study per day during examination period?  ,Do you organise your time ?,Do you have a reading plan before exams?  ,Do you take notes in class?  ,Do you attend group study sessions with classmates?  ,How many hours of lectures do you skip per week? ,Do you use internet resources to improve academic performance?  ,What is your current CGPA ?,Number of subjects enrolled previous semester ?,Average carry mark / coursework (%) in previous semester,"On average, how many hours per day do you spend on social media instead of studying?  ",How often does social media distract you from studying?  ,Do you feel that physical exercise or sports affects your available study time?  ,What do you think is your biggest challenge when it comes to managing your study time?
3/14/2026 20:13:18,Female,Bachelor's Degree,Public University,Self-study,Less than 1 hour,8 hours or more,Yes,Yes,Yes,No,None (I attend all lectures),Yes,3.50 – 4.00,5 – 6 subjects,50–69%,3–4 hours,Always,Never,"I don't do much clubs / extra-curriculum activities or have other things besides studying so finding some free times to study were never the problem. I think the main issue for me was my lack of disipline. I was always so easily distracted with other things, because I have a short attention span. That was also why I always ended up cramming 1-2 days before the exam.  "
3/14/2026 20:22:09,Female,Bachelor's Degree,Public University,Past year papers,1–2 hours,8 hours or more,No,Yes,No,Yes,1–2 hours,Yes,3.00 – 3.49,5 – 6 subjects,60–69%,3–4 hours,Often,Always,attention span
3/14/2026 20:25:41,Female,Bachelor's Degree,Public University,Self-study,Less than 1 hour,8 hours or more,Yes,Yes,Yes,No,None (I attend all lectures),Yes,3.50 – 4.00,7 or more subjects,Below 40%,5 hours or more,Sometimes,Sometimes,"When we have coursework and assignment , we really need to manage our time well in order to catch up everything."
3/14/2026 20:25:48,Female,Bachelor's Degree,Public University,Self-study,3–4 hours,5–7 hours,Yes,Yes,Yes,No,None (I attend all lectures),Yes,3.00 – 3.49,3 – 4 subjects,70–79%,1–2 hours,Sometimes,Sometimes,too many assignment 
3/14/2026 20:31:06,Female,Bachelor's Degree,Public University,Past year papers,1–2 hours,8 hours or more,Yes,Yes,Yes,Yes,1–2 hours,Yes,3.50 – 4.00,7 or more subjects,50–69%,1–2 hours,Sometimes,Never,game
3/14/2026 20:37:08,Prefer not to say,Diploma,Public University,Self-study,1–2 hours,2–4 hours,No,Yes,Yes,Yes,1–2 hours,Yes,3.50 – 4.00,3 – 4 subjects,70–79%,3–4 hours,Always,Sometimes,"Maybe when I'm distracted playing on my cellphone, it's hard for me to divide my time between playing and studying."
3/14/2026 20:38:11,Female,Bachelor's Degree,Public University,Past year papers,Less than 1 hour,2–4 hours,Yes,Yes,Yes,Yes,None (I attend all lectures),Yes,3.00 – 3.49,5 – 6 subjects,50–69%,1–2 hours,Always,Never,My biggest challenge in managing my study time is staying consistent and focused. Sometimes I get distracted or delay studying when I have other activities. I am trying to improve by planning my schedule better and setting clear priorities.
3/14/2026 20:51:52,Female,Bachelor's Degree,Public University,Past year papers,3–4 hours,5–7 hours,No,No,Yes,Yes,None (I attend all lectures),Yes,3.50 – 4.00,7 or more subjects,Below 40%,5 hours or more,Always,Sometimes,Discipline 
3/14/2026 21:10:34,Female,Bachelor's Degree,Public University,Self-study,1–2 hours,2–4 hours,Yes,Yes,No,No,None (I attend all lectures),Yes,3.50 – 4.00,7 or more subjects,60–69%,5 hours or more,Always,Never,procrastination 
3/14/2026 21:30:45,Male,Diploma,Public University,Group study,1–2 hours,Less than 2 hours,No,Yes,Yes,Yes,None (I attend all lectures),Yes,3.50 – 4.00,5 – 6 subjects,60–69%,5 hours or more,Always,Sometimes,Social Media and Video Game
3/14/2026 21:48:31,Female,Diploma,Public University,Past year papers,1–2 hours,5–7 hours,No,No,Yes,Yes,None (I attend all lectures),Yes,3.00 – 3.49,5 – 6 subjects,50–69%,3–4 hours,Often,Never,Focus
3/14/2026 21:50:30,Female,Bachelor's Degree,Public University,Group study,3–4 hours,2–4 hours,Yes,Yes,Yes,Yes,None (I attend all lectures),Yes,3.50 – 4.00,7 or more subjects,50–69%,1–2 hours,Sometimes,Never, 
3/14/2026 21:58:59,Female,Diploma,Public University,Self-study,1–2 hours,2–4 hours,Yes,Yes,Yes,Yes,1–2 hours,Yes,3.00 – 3.49,5 – 6 subjects,40–49%,5 hours or more,Always,Sometimes,Scrolling TikTok 
3/14/2026 22:20:51,Female,Bachelor's Degree,Public University,Self-study,3–4 hours,2–4 hours,Yes,Yes,Yes,No,None (I attend all lectures),Yes,3.00 – 3.49,7 or more subjects,40–49%,5 hours or more,Often,Often,"sleepy, noise "
3/14/2026 22:30:07,Male,Bachelor's Degree,Public University,Self-study,3–4 hours,8 hours or more,Yes,Yes,Yes,No,None (I attend all lectures),Yes,3.00 – 3.49,5 – 6 subjects,Below 40%,1–2 hours,Sometimes,Never,Feel of lazy
3/14/2026 22:37:41,Male,Bachelor's Degree,Private University,Group study,1–2 hours,2–4 hours,No,Yes,Yes,Yes,1–2 hours,Yes,3.00 – 3.49,5 – 6 subjects,50–69%,1–2 hours,Often,Sometimes,Social media
